LJ BELO HORIZONTE 04,30310000,AVENIDA NOSSA SENHORA DO CARMO 895,SION,BELO HORIZONTE,MG
LJ BELO HORIZONTE 02,30494085,AVENIDA BARAO HOMEM DE MELO 3121,ESTORIL,BELO HORIZONTE,MG
LJ BELO HORIZONTE 01,30770040,RUA FRANCISCO OVIDIO 83 A,PEDRO II,BELO HORIZONTE,MG
LJ BELO HORIZONTE 03,31110050,RUA JACUI 1350,FLORESTA,BELO HORIZONTE,MG
CO BELO HORIZONTE 03,31270760,RUA HENRIQUE CABRAL 145,SAO LUIZ,BELO HORIZONTE,MG
CO BELO HORIZONTE 02,31525000,RUA MINISTRO OLIVEIRA SALAZAR 950,SANTA MONICA,BELO HORIZONTE,MG
CO BELO HORIZONTE,31525000,RUA MINISTRO OLIVEIRA SALAZAR 940,SANTA MONICA,BELO HORIZONTE,MG
LJ BELO HORIZONTE 06,31560300,AVENIDA GUARAPARI 775 LJ 9,SANTA AMELIA,BELO HORIZONTE,MG
LJ BELO HORIZONTE 05,31814620,RUA WALDOMIRO LOBO 851 LJ A,GUARANI,BELO HORIZONTE,MG
CO CONTAGEM 01,32315040,AVENIDA JOSE FARIA DA ROCHA 3713,ELDORADO,CONTAGEM,MG
BHZ CONFINADOS ,32371685,AVENIDA HELENA DE VASCONCELOS COSTA 875,CINCAO,CONTAGEM,MG
CO BETIM 01,32671345,AVENIDA JUIZ MARCO TULIO ISAAC 4110,PARQUE DAS INDUSTRIAS,BETIM,MG
CO LAGOA SANTA 02,33239314,RUA TIMBIRAS 150 - LJ 01,SANTOS DUMONT,VESPASIANO,MG
CO PEDRO LEOPOLDO 01,33250036,RUA DOUTOR ROCHA 677 A,CENTRO,PEDRO LEOPOLDO,MG
CO NOVA LIMA 01,34007646,RUA ONTARIO 408,JARDIM CANADA,NOVA LIMA,MG
CO GOV VALADARES,35012000,RUA LEONARDO CRISTINO 3557,SAO GERALDO,GOVERNADOR VALADARES,MG
CO GOV VALADARES 01,35032630,RUA QUINTILIANO COSTA 401,LOURDES,GOVERNADOR VALADARES,MG
CO IPATINGA 02,35162019,RUA AMBAR 105,IGUACU,IPATINGA,MG
LJ CORONEL FABRICIANO 01,35170020,RUA JOSE VIVI 22,PROFESSORES,CORONEL FABRICIANO,MG
CO TIMOTEO 01,35180036,R CINCO DE MAIO 151 LOJA 2,CENTRO,TIMOTEO,MG
CO CARATINGA 01,35300573,AVENIDA PRESIDENTE TANCREDO NEVES 3575 LJ 02,ZACARIAS,CARATINGA,MG
